t,dx,dy,dz,ax,ay,az
4.32,-3.70939,-10.55658,-32.8833,176.99718,-14.89976,95.39848
4.34,-3.12023,-10.58711,-32.9037,124.99801,-5.39991,87.49861
4.36,-2.5005,-10.61841,-32.89036,-120.99808,17.79972,66.09895
4.38,-1.89791,-10.64832,-32.84973,-54.19914,-16.49974,52.29917
4.4,-1.32211,-10.68133,-32.78519,-38.39939,-15.89975,67.59892
4.42,-0.76254,-10.71828,-32.69101,-31.0995,8.59986,107.99828
4.44,-0.22426,-10.75066,-32.56069,-111.99822,44.1993,76.99877
4.46,0.2719,-10.77276,-32.3954,-165.99735,5.69991,86.89862
4.48,0.69904,-10.79187,-32.19902,-245.99608,-25.99959,59.19906
4.5,1.04006,-10.81446,-31.97557,-202.99676,11.29982,64.49897
4.52,1.29747,-10.83301,-31.74403,-183.99706,43.6993,-107.99828
4.54,1.48455,-10.83882,-31.53684,-131.9979,28.49955,-92.99852
4.56,1.61722,-10.83419,-31.36967,-95.99847,3.39995,-106.9983
4.58,1.71422,-10.82736,-31.24481,-32.49948,-13.39979,-116.99814
4.6,1.79663,-10.82345,-31.16437,15.39975,-5.9999,-103.99835
4.62,1.88702,-10.82169,-31.12644,81.5987,3.69994,-100.99839
4.64,2.00845,-10.81924,-31.13433,131.9979,5.29992,-152.99756
4.66,2.18262,-10.81646,-31.19533,181.9971,-11.19982,-124.99801
4.68,2.40579,-10.81655,-31.30774,-5.79991,-11.79981,-111.99822
4.7,2.64429,-10.82016,-31.46371,-16.89973,-0.59999,-87.39861
4.72,2.88166,-10.82548,-31.6544,28.49955,-4.29993,-61.29902
4.74,3.12749,-10.83331,-31.86859,44.69929,-16.09974,-25.79959
4.76,3.39492,-10.84326,-32.09374,98.29844,15.09976,2.39996
4.78,3.70066,-10.84715,-32.31652,141.99773,46.39926,43.7993
4.8,4.06311,-10.83607,-32.52328,184.99705,41.49934,69.3989
4.82,4.50134,-10.81193,-32.70462,245.99608,0.99998,70.79888
4.84,5.02414,-10.78651,-32.85787,168.9973,-30.79951,68.9989
4.86,5.59153,-10.76781,-32.98343,-137.99781,-6.89989,67.29893
4.88,6.13821,-10.75171,-33.08231,-99.89841,18.4997,62.29901
4.9,6.64019,-10.72903,-33.15397,-108.99827,35.49943,79.39874
4.92,7.10129,-10.69572,-33.19715,-90.69855,16.49974,62.999
4.94,7.52864,-10.65351,-33.21444,-46.89925,20.39967,52.49916
4.96,7.92503,-10.60664,-33.21023,-124.99801,-10.89983,46.29926
4.98,8.2706,-10.56032,-33.18608,-210.99664,-4.29993,53.29915
5,8.54526,-10.51161,-33.14034,-161.99741,43.19931,62.29901
5.02,8.74949,-10.45044,-33.07154,-168.9973,42.29933,51.69918
5.04,8.89061,-10.37683,-32.98404,-130.99792,-3.59994,20.59967
5.06,8.97751,-10.30123,-32.88782,-110.99824,-15.39975,-6.69989
5.08,9.02137,-10.2285,-32.79213,-77.29877,5.49991,-13.19979
5.1,9.03354,-10.15699,-32.69916,-50.99919,-7.89987,4.89992
5.12,9.02232,-10.09022,-32.60109,-54.39914,-37.39941,53.59914
5.14,8.98311,-10.02995,-32.48173,-119.99809,17.49972,99.99841
5.16,8.90233,-9.96486,-32.33369,-120.99808,50.4992,32.29948
5.18,8.77374,-9.8962,-32.17092,-115.99816,-83.09867,-18.09971
5.2,8.59833,-9.84582,-32.00728,-114.99817,-67.19893,11.69981
5.22,8.38113,-9.81949,-31.83842,-71.69885,-23.29963,46.09926
5.24,8.13261,-9.80311,-31.65192,-54.59913,14.19977,71.59886
5.26,7.86662,-9.78023,-31.43581,6.3999,59.59905,105.99831
5.28,7.58839,-9.74474,-31.17905,-80.39872,-7.39988,121.99806
5.3,7.27841,-9.7039,-30.87621,-162.9974,8.49986,109.99825
5.32,6.91917,-9.65732,-30.53381,-85.89863,47.59924,52.79916
5.34,6.51683,-9.59979,-30.16958,-96.09847,5.59991,1.69997
5.36,6.08269,-9.54319,-29.7992,-39.59937,-68.29892,4.59993
5.38,5.62954,-9.502,-29.42904,-14.69977,-23.39963,-13.99978
5.4,5.17266,-9.4687,-29.0622,31.89949,36.09942,-10.69983
5.42,4.72715,-9.42921,-28.7022,64.79897,12.99979,-33.79946
5.44,4.30653,-9.38361,-28.35774,87.5986,-1.29998,-77.99876
5.46,3.91461,-9.33793,-28.04218,47.19925,-9.79984,-99.99841
5.48,3.54285,-9.29266,-27.76423,19.79968,16.59974,-98.99843
5.5,3.17948,-9.24319,-27.5253,-2.69996,18.39971,-93.09851
5.52,2.82045,-9.18659,-27.32164,29.19954,17.79972,-68.29892
5.54,2.47142,-9.1258,-27.14528,44.49929,-12.3998,-44.0993
5.56,2.14204,-9.0689,-26.98659,78.49875,-31.99949,-21.09966
5.58,1.84309,-9.01907,-26.83627,102.99836,5.39991,1.69997
5.6,1.58607,-8.9664,-26.68566,134.99785,49.49921,19.79968
5.62,1.38243,-8.89963,-26.52505,160.99743,36.29942,57.79908
5.64,1.24307,-8.81871,-26.34551,185.99703,19.29969,53.09915
5.66,1.16979,-8.72889,-26.14864,127.99796,13.89978,8.39987
5.68,1.14709,-8.63894,-25.94544,63.99898,-45.99927,-7.39988
5.7,1.152,-8.56128,-25.74682,20.39967,-44.99928,-40.29936
5.72,1.17052,-8.49337,-25.56225,31.3995,38.29939,-53.29915
5.74,1.20107,-8.42125,-25.39726,37.2994,10.29984,-49.79921
5.76,1.24716,-8.35142,-25.25048,49.59921,-81.99869,-30.09952
5.78,1.30923,-8.2978,-25.11568,23.49963,-8.59986,-10.59983
5.8,1.3801,-8.25345,-24.99037,-8.39987,6.2999,-44.39929
5.82,1.44994,-8.20714,-24.88283,-16.79973,15.39975,-79.19873
5.84,1.51444,-8.15421,-24.80019,-11.29982,28.89954,-47.09925
5.86,1.57268,-8.09297,-24.73895,-22.89963,9.69985,-41.39934
5.88,1.62271,-8.03137,-24.69199,-24.7996,-44.79929,-13.79978
5.9,1.6639,-7.97974,-24.65087,-15.69975,-20.09968,9.79984
5.92,1.69877,-7.93318,-24.60585,-6.89989,34.09945,32.29948
