t,dx,dy,dz,ax,ay,az
1.430000,1.17339973,-5.90730064,-16.82068849,145.07630000,58.74374000,432.17662000
1.440000,0.84073824,-5.91021436,-16.94341467,157.93630000,204.72374000,457.25662000
1.450000,0.52406285,-5.89772944,-17.02164442,174.43630000,143.72374000,434.71662000
1.460000,0.22481308,-5.87454860,-17.05879523,186.15630000,-68.36626000,318.01662000
1.470000,-0.05570434,-5.85563886,-17.06436910,198.48630000,-181.86626000,193.87662000
1.480000,-0.31590765,-5.85032472,-17.04809879,225.37630000,-115.75626000,169.54662000
1.490000,-0.55332886,-5.85569992,-17.01413929,257.98630000,-18.22626000,176.14662000
1.500000,-0.76547970,-5.86392396,-16.96401711,265.40630000,34.22374000,126.21662000
1.510000,-0.95141244,-5.86895260,-16.90114774,255.86630000,73.56374000,82.85662000
1.520000,-1.11130957,-5.86741333,-16.82857093,260.22630000,77.33374000,97.91662000
1.530000,-1.24531909,-5.85941715,-16.74610069,255.12630000,26.01374000,118.59662000
1.540000,-1.35426550,-5.84878782,-16.65251901,227.98630000,-28.06626000,110.89662000
1.550000,-1.43987080,-5.83952734,-16.54815440,218.48630000,-28.66626000,92.47662000
1.560000,-1.50287300,-5.83147969,-16.43431710,235.10630000,32.85374000,84.60662000
1.570000,-1.54213959,-5.82048540,-16.31174762,256.66630000,76.79374000,89.14662000
1.580000,-1.55586707,-5.80458919,-16.18078144,269.06630000,5.60374000,74.51662000
1.590000,-1.54312519,-5.78956233,-16.04327434,259.91630000,-126.80626000,25.00662000
1.600000,-1.50449770,-5.78454932,-15.90326829,242.46630000,-156.57626000,-23.02338000
1.610000,-1.44101886,-5.79199815,-15.76476931,245.14630000,-62.54626000,-37.69338000
1.620000,-1.35279991,-5.80623032,-15.62959065,252.78630000,6.30374000,-32.85338000
1.630000,-1.23986010,-5.82200184,-15.49803355,234.05630000,-15.66626000,-39.91338000
1.640000,-1.10355743,-5.83957745,-15.37078326,209.55630000,-51.16626000,-58.04338000
1.650000,-0.94555340,-5.86073141,-15.24894479,210.82630000,-29.16626000,-58.92338000
1.660000,-0.76608726,-5.88400946,-15.13261963,223.21630000,20.50374000,-43.09338000
1.670000,-0.56469402,-5.90681285,-15.02091028,215.76630000,3.11374000,-37.97338000
1.680000,-0.34220092,-5.93021859,-14.91346450,185.18630000,-54.85626000,-49.95338000
1.690000,-0.10081571,-5.95674392,-14.81096653,165.48630000,-22.21626000,-58.48338000
1.700000,0.15784436,-5.98500560,-14.71383563,170.77630000,25.80374000,-46.21338000
1.710000,0.43298503,-6.01492437,-14.62132104,148.12630000,-99.70626000,-32.19338000
1.720000,0.72214857,-6.05506424,-14.53271551,89.82630000,-239.26626000,-44.21338000
1.730000,1.02146796,-6.11266645,-14.44852830,74.39630000,-124.28626000,-54.56338000
1.740000,1.32909546,-6.18043525,-14.36878966,89.64630000,77.14374000,-23.05338000
1.750000,1.64458107,-6.24512890,-14.29096507,56.57630000,88.97374000,25.65662000
1.760000,1.96540129,-6.30424714,-14.21148830,6.52630000,-36.10626000,39.37662000
1.770000,2.28793736,-6.36504098,-14.12894760,-5.05370000,-87.81626000,19.69662000
1.780000,2.61046129,-6.43044591,-14.04379096,-0.96370000,23.26374000,27.41662000
1.790000,2.93238209,-6.49384869,-13.95475438,-21.20370000,117.34374000,82.21662000
1.800000,3.25151798,-6.55009031,-13.85795062,-72.08370000,24.46374000,120.38662000
1.810000,3.56381949,-6.60469802,-13.75033592,-112.06370000,-104.94626000,110.99662000
1.820000,3.86551511,-6.66658233,-13.63170528,-132.08370000,-109.66626000,99.80662000
1.830000,4.15350583,-6.73743048,-13.50247871,-176.02370000,-38.30626000,114.77662000
1.840000,4.42392666,-6.81191122,-13.36194546,-222.72370000,36.94374000,124.45662000
1.850000,4.67325235,-6.88286007,-13.21020551,-226.39370000,101.66374000,86.12662000
1.860000,4.90059165,-6.94391375,-13.05079638,-208.00370000,151.50374000,11.60662000
1.870000,5.10722081,-6.99176878,-12.88969707,-190.06370000,119.24374000,-40.18338000
1.880000,5.29498257,-7.03105065,-12.73163082,-170.62370000,-51.09626000,-51.01338000
1.890000,5.46551394,-7.07498062,-12.57852638,-161.96370000,-207.00626000,-54.71338000
1.900000,5.61912043,-7.13424443,-12.43130751,-186.50370000,-152.27626000,-73.43338000
1.910000,5.75335926,-7.20468909,-12.29170245,-243.79370000,60.29374000,-101.42338000
1.920000,5.86377146,-7.26992159,-12.16162746,-283.03370000,236.14374000,-103.37338000
1.930000,5.94732102,-7.31627968,-12.04073778,-268.70370000,218.36374000,-57.69338000
1.940000,6.00436893,-7.34467137,-11.92580591,-243.68370000,41.75374000,-18.00338000
1.950000,6.03617870,-7.36575840,-11.81409936,-257.51370000,-13.71626000,-33.76338000
1.960000,6.04137108,-7.38308653,-11.70662862,-310.04370000,132.00374000,-82.35338000
1.970000,6.01607682,-7.38920325,-11.60697819,-345.92370000,194.13374000,-112.79338000
1.980000,5.95829666,-7.38082232,-11.51710858,-301.60370000,55.60374000,-81.74338000
1.990000,5.87114687,-7.36693098,-11.43495654,-229.71370000,-88.95626000,-30.87338000
2.000000,5.75915593,-7.35941548,-11.35780331,-236.67370000,-136.75626000,-54.91338000
2.010000,5.62241160,-7.36370083,-11.28720539,-291.13370000,-113.59626000,-119.96338000
2.020000,5.45802313,-7.37669152,-11.22697453,-290.88370000,11.70374000,-118.29338000
2.030000,5.26550776,-7.38861856,-11.17750674,-256.23370000,128.70374000,-72.42338000
2.040000,5.04652326,-7.39215844,-11.13628527,-259.47370000,62.34374000,-65.16338000
2.050000,4.80135636,-7.39165116,-11.10201310,-276.17370000,-95.53626000,-73.67338000
2.060000,4.52878832,-7.40010723,-11.07494576,-288.28370000,-233.83626000,-74.13338000
2.070000,4.22699564,-7.43026265,-11.05606497,-320.30370000,-308.79626000,-103.97338000
2.080000,3.89334507,-7.48675590,-11.04760850,-349.48370000,-206.11626000,-133.34338000
2.090000,3.52501985,-7.56065775,-11.05175710,-371.77370000,20.65374000,-131.99338000
2.100000,3.11991450,-7.63279020,-11.06879525,-382.23370000,231.55374000,-116.70338000
2.110000,2.67786600,-7.68290474,-11.09670023,-345.54370000,392.92374000,-67.72338000
2.120000,2.20174586,-7.69697363,-11.13114176,-293.60370000,420.39374000,-7.76338000
2.130000,1.69575908,-7.67399985,-11.16748386,-265.97370000,243.96374000,8.77662000
2.140000,1.16287065,-7.62828043,-11.20357853,-254.57370000,-2.52626000,1.65662000
2.150000,0.60438659,-7.57886859,-11.23931775,-252.76370000,-95.24626000,3.67662000
2.160000,0.02109313,-7.53417411,-11.27458830,-236.33370000,0.29374000,11.28662000
2.170000,-0.58453672,-7.48957171,-11.30862940,-172.08370000,86.94374000,24.47662000
2.180000,-1.20656546,-7.43975191,-11.33996307,-79.51370000,30.48374000,49.60662000
2.190000,-1.83737709,-7.38831796,-11.36692581,-24.26370000,-87.37626000,52.69662000
2.200000,-2.47192587,-7.34267809,-11.39021511,-25.50370000,-91.52626000,-6.51338000
2.210000,-3.10900754,-7.30139858,-11.41443597,-30.10370000,91.98374000,-75.38338000
2.220000,-3.74846210,-7.25097615,-11.44452564,-13.26370000,269.24374000,-75.92338000
2.230000,-4.38890655,-7.17909782,-11.48091439,12.97630000,223.73374000,-23.18338000
2.240000,-5.02772864,-7.08844059,-11.52017944,48.14630000,30.41374000,8.78662000
2.250000,-5.66233587,-6.99425120,-11.56043656,55.26630000,-147.30626000,-32.52338000
2.260000,-6.29213325,-6.91185340,-11.60473649,29.65630000,-211.49626000,-103.90338000
2.270000,-6.91756402,-6.84678720,-11.65788049,56.02630000,-126.99626000,-111.88338000
2.280000,-7.53599243,-6.79322884,-11.72086330,134.32630000,1.14374000,-64.33338000
2.290000,-8.14158523,-6.74110608,-11.79061767,184.68630000,63.25374000,-28.76338000
2.300000,-8.72933167,-6.68440316,-11.86381286,206.09630000,51.52374000,-14.22338000
