t,dx,dy,dz,ax,az
1.47,-0.05570434,-5.85563886,-17.0643691,198.4863,193.87662
1.48,-0.31590765,-5.85032472,-17.04809879,225.3763,169.54662
1.49,-0.55332886,-5.85569992,-17.01413929,257.9863,176.14662
1.5,-0.7654797,-5.86392396,-16.96401711,265.4063,126.21662
1.51,-0.95141244,-5.8689526,-16.90114774,255.8663,82.85662
1.52,-1.11130957,-5.86741333,-16.82857093,260.2263,97.91662
1.53,-1.24531909,-5.85941715,-16.74610069,255.1263,118.59662
1.54,-1.3542655,-5.84878782,-16.65251901,227.9863,110.89662
1.55,-1.4398708,-5.83952734,-16.5481544,218.4863,92.47662
1.56,-1.502873,-5.83147969,-16.4343171,235.1063,84.60662
1.57,-1.54213959,-5.8204854,-16.31174762,256.6663,89.14662
1.58,-1.55586707,-5.80458919,-16.18078144,269.0663,74.51662
1.59,-1.54312519,-5.78956233,-16.04327434,259.9163,25.00662
1.6,-1.5044977,-5.78454932,-15.90326829,242.4663,-23.02338
1.61,-1.44101886,-5.79199815,-15.76476931,245.1463,-37.69338
1.62,-1.35279991,-5.80623032,-15.62959065,252.7863,-32.85338
1.63,-1.2398601,-5.82200184,-15.49803355,234.0563,-39.91338
1.64,-1.10355743,-5.83957745,-15.37078326,209.5563,-58.04338
1.65,-0.9455534,-5.86073141,-15.24894479,210.8263,-58.92338
1.66,-0.76608726,-5.88400946,-15.13261963,223.2163,-43.09338
1.67,-0.56469402,-5.90681285,-15.02091028,215.7663,-37.97338
1.68,-0.34220092,-5.93021859,-14.9134645,185.1863,-49.95338
1.69,-0.10081571,-5.95674392,-14.81096653,165.4863,-58.48338
1.7,0.15784436,-5.9850056,-14.71383563,170.7763,-46.21338
1.71,0.43298503,-6.01492437,-14.62132104,148.1263,-32.19338
1.72,0.72214857,-6.05506424,-14.53271551,89.8263,-44.21338
1.73,1.02146796,-6.11266645,-14.4485283,74.3963,-54.56338
1.74,1.32909546,-6.18043525,-14.36878966,89.6463,-23.05338
1.75,1.64458107,-6.2451289,-14.29096507,56.5763,25.65662
1.76,1.96540129,-6.30424714,-14.2114883,6.5263,39.37662
1.77,2.28793736,-6.36504098,-14.1289476,-5.0537,19.69662
1.78,2.61046129,-6.43044591,-14.04379096,-0.9637,27.41662
1.79,2.93238209,-6.49384869,-13.95475438,-21.2037,82.21662
1.8,3.25151798,-6.55009031,-13.85795062,-72.0837,120.38662
1.81,3.56381949,-6.60469802,-13.75033592,-112.0637,110.99662
1.82,3.86551511,-6.66658233,-13.63170528,-132.0837,99.80662
1.83,4.15350583,-6.73743048,-13.50247871,-176.0237,114.77662
1.84,4.42392666,-6.81191122,-13.36194546,-222.7237,124.45662
1.85,4.67325235,-6.88286007,-13.21020551,-226.3937,86.12662
1.86,4.90059165,-6.94391375,-13.05079638,-208.0037,11.60662
1.87,5.10722081,-6.99176878,-12.88969707,-190.0637,-40.18338
1.88,5.29498257,-7.03105065,-12.73163082,-170.6237,-51.01338
1.89,5.46551394,-7.07498062,-12.57852638,-161.9637,-54.71338
1.9,5.61912043,-7.13424443,-12.43130751,-186.5037,-73.43338
1.91,5.75335926,-7.20468909,-12.29170245,-243.7937,-101.42338
1.92,5.86377146,-7.26992159,-12.16162746,-283.0337,-103.37338
1.93,5.94732102,-7.31627968,-12.04073778,-268.7037,-57.69338
1.94,6.00436893,-7.34467137,-11.92580591,-243.6837,-18.00338
1.95,6.0361787,-7.3657584,-11.81409936,-257.5137,-33.76338
1.96,6.04137108,-7.38308653,-11.70662862,-310.0437,-82.35338
1.97,6.01607682,-7.38920325,-11.60697819,-345.9237,-112.79338
1.98,5.95829666,-7.38082232,-11.51710858,-301.6037,-81.74338
1.99,5.87114687,-7.36693098,-11.43495654,-229.7137,-30.87338
2.0,5.75915593,-7.35941548,-11.35780331,-236.6737,-54.91338
2.01,5.6224116,-7.36370083,-11.28720539,-291.1337,-119.96338
2.02,5.45802313,-7.37669152,-11.22697453,-290.8837,-118.29338
2.03,5.26550776,-7.38861856,-11.17750674,-256.2337,-72.42338
2.04,5.04652326,-7.39215844,-11.13628527,-259.4737,-65.16338
2.05,4.80135636,-7.39165116,-11.1020131,-276.1737,-73.67338
2.06,4.52878832,-7.40010723,-11.07494576,-288.2837,-74.13338
2.07,4.22699564,-7.43026265,-11.05606497,-320.3037,-103.97338
2.08,3.89334507,-7.4867559,-11.0476085,-349.4837,-133.34338
2.09,3.52501985,-7.56065775,-11.0517571,-371.7737,-131.99338
2.1,3.1199145,-7.6327902,-11.06879525,-382.2337,-116.70338
2.11,2.677866,-7.68290474,-11.09670023,-345.5437,-67.72338
2.12,2.20174586,-7.69697363,-11.13114176,-293.6037,-7.76338
2.13,1.69575908,-7.67399985,-11.16748386,-265.9737,8.77662
2.14,1.16287065,-7.62828043,-11.20357853,-254.5737,1.65662
2.15,0.60438659,-7.57886859,-11.23931775,-252.7637,3.67662
2.16,0.02109313,-7.53417411,-11.2745883,-236.3337,11.28662
2.17,-0.58453672,-7.48957171,-11.3086294,-172.0837,24.47662
2.18,-1.20656546,-7.43975191,-11.33996307,-79.5137,49.60662
2.19,-1.83737709,-7.38831796,-11.36692581,-24.2637,52.69662
2.2,-2.47192587,-7.34267809,-11.39021511,-25.5037,-6.51338
2.21,-3.10900754,-7.30139858,-11.41443597,-30.1037,-75.38338
2.22,-3.7484621,-7.25097615,-11.44452564,-13.2637,-75.92338
2.23,-4.38890655,-7.17909782,-11.48091439,12.9763,-23.18338
2.24,-5.02772864,-7.08844059,-11.52017944,48.1463,8.78662
2.25,-5.66233587,-6.9942512,-11.56043656,55.2663,-32.52338
2.26,-6.29213325,-6.9118534,-11.60473649,29.6563,-103.90338
2.27,-6.91756402,-6.8467872,-11.65788049,56.0263,-111.88338
2.28,-7.53599243,-6.79322884,-11.7208633,134.3263,-64.33338
2.29,-8.14158523,-6.74110608,-11.79061767,184.6863,-28.76338
2.3,-8.72933167,-6.68440316,-11.86381286,206.0963,-14.22338
2.31,-9.29611576,-6.62288458,-11.93900561,237.5563,-21.14338
2.32,-9.83869724,-6.55859635,-12.01704818,282.8363,-55.93338
2.33,-10.35348311,-6.49343822,-12.10064506,304.5363,-87.61338
2.34,-10.83871312,-6.42899767,-12.19220651,286.2663,-85.87338
2.35,-11.29582552,-6.36671997,-12.29138627,243.5763,-43.82338
2.36,-11.72927656,-6.31117362,-12.39513609,168.9763,-7.73338
2.37,-12.14559275,-6.27057711,-12.50092497,99.8063,-20.72338
2.38,-12.55025883,-6.24499544,-12.60826143,93.3563,-11.17338
2.39,-12.9447178,-6.21850862,-12.71516594,117.7063,61.89662
2.4,-13.32819091,-6.17435565,-12.81639427,106.6063,115.97662
2.41,-13.70156692,-6.11144251,-12.90740116,68.9063,116.55662
2.42,-14.06717231,-6.03579997,-12.98675287,62.3463,118.66662
2.43,-14.42633385,-5.94778653,-13.05349489,60.0963,152.04662
2.44,-14.78004128,-5.84764518,-13.10503273,31.5663,186.95662
2.45,-15.12995585,-5.73994192,-13.13838588,24.4263,202.97662
2.46,-15.47704182,-5.62552826,-13.15121409,28.6663,229.63662
2.47,-15.82086767,-5.49807344,-13.14068637,44.5863,273.53662
2.48,-16.15928167,-5.35297172,-13.10399646,94.5763,271.32662
2.49,-16.48899181,-5.19792409,-13.04193486,110.3563,200.22662
2.5,-16.80828384,-5.0498823,-12.95957433,97.3763,141.72662
2.51,-17.11683676,-4.91985586,-12.86154736,120.3963,144.52662
2.52,-17.41339758,-4.80536252,-12.74909196,137.4563,147.90662
2.53,-17.69686003,-4.69746901,-12.62300137,124.5663,106.61662
2.54,-17.96766438,-4.59281511,-12.4864481,115.6763,58.91662
2.55,-18.22703112,-4.50158354,-12.34389339,97.5263,17.15662
2.56,-18.47642325,-4.43930107,-12.20001749,84.1963,-38.83338
2.57,-18.71610578,-4.40438045,-12.05928041,118.4063,-63.49338
2.58,-18.94386619,-4.37407842,-11.92357764,151.8163,-34.00338
2.59,-19.15754625,-4.32878948,-11.79167544,137.1163,-18.97338
2.6,-19.35775995,-4.26879589,-11.66308655,108.5463,-59.03338
2.61,-19.54631604,-4.20590589,-11.54030722,108.0363,-93.79338
2.62,-19.72331777,-4.14908298,-11.42533871,133.4963,-64.26338
2.63,-19.8871629,-4.10016667,-11.31684451,147.1763,-35.10338
2.64,-20.03614467,-4.05717446,-11.21333938,162.6263,-63.54338
2.65,-20.16850857,-4.01788809,-11.11592206,188.2263,-79.77338
2.66,-20.28294238,-3.98510081,-11.0254448,174.0663,-52.96338
2.67,-20.38000407,-3.96816737,-10.94100636,154.4663,-54.30338
2.68,-20.46028615,-3.97194754,-10.86325873,184.1263,-104.51338
2.69,-20.52164913,-3.98817904,-10.79526666,229.9863,-125.34338
2.7,-20.56054725,-4.00448939,-10.73822916,250.4363,-81.43338
2.71,-20.57531826,-4.01785733,-10.68976548,230.1663,-53.19338
2.72,-20.56694991,-4.03428462,-10.64791061,210.7463,-74.98338
2.73,-20.5363232,-4.05755575,-10.6126683,234.6163,-59.79338
2.74,-20.48260639,-4.08480098,-10.58188381,239.5663,17.80662
2.75,-20.40642221,-4.11245205,-10.55013938,180.8863,64.12662
2.76,-20.31231893,-4.13899596,-10.51360701,111.3663,47.00662
2.77,-20.2064883,-4.16300572,-10.47217646,61.4163,39.33662
2.78,-20.09425055,-4.18501558,-10.42590222,18.0263,69.61662
2.79,-19.97990269,-4.20908702,-10.37299055,-17.1237,88.47662
2.8,-19.86670423,-4.23690457,-10.31192719,-33.8137,81.04662
2.81,-19.75674691,-4.26288945,-10.24248264,-48.9537,86.22662
2.82,-19.65215473,-4.28099293,-10.16436716,-86.9437,94.88662
2.83,-19.55582594,-4.29307926,-10.07771974,-111.7537,66.82662
2.84,-19.4697223,-4.30495192,-9.98445839,-102.6137,37.56662
2.85,-19.39453179,-4.31927519,-9.8864171,-123.6037,50.78662
2.86,-19.33226993,-4.33598329,-9.78302262,-171.3837,76.53662
2.87,-19.28591621,-4.35296249,-9.67235021,-174.0137,88.80662
2.88,-19.25638513,-4.36642129,-9.55323736,-157.5537,85.01662
2.89,-19.24299319,-4.37732593,-9.42612783,-160.5037,62.57662
2.9,-19.24506915,-4.39441241,-9.29268211,-144.2137,44.82662
2.91,-19.26095475,-4.42465299,-9.15436746,-107.5137,44.07662
2.92,-19.28783549,-4.46349791,-9.01185636,-84.6237,36.42662
2.93,-19.32301587,-4.49766493,-8.86600409,-59.2837,18.26662
2.94,-19.36342239,-4.51552429,-8.71820012,-9.9137,6.65662
2.95,-19.4050558,-4.51746199,-8.57004672,25.9763,-16.05338
2.96,-19.44504136,-4.51865279,-8.42399389,19.8163,-57.02338
2.97,-19.48313406,-4.53463344,-8.28334987,6.0463,-84.70338
2.98,-19.52027965,-4.56294742,-8.15106916,1.9163,-106.55338
2.99,-19.55731063,-4.58547376,-8.02901502,-9.3537,-109.70338
3.0,-19.59503425,-4.58644443,-7.91642594,-14.9737,-51.09338
3.01,-19.63379477,-4.5657307,-7.80946017,-6.2337,-11.49338
3.02,-19.67357043,-4.54014507,-7.70614422,-17.2237,-70.36338
3.03,-19.71564923,-4.53130253,-7.61050259,-55.5037,-153.20338
3.04,-19.76250292,-4.54514983,-7.52934651,-66.8237,-201.10338
3.05,-19.81456175,-4.56532373,-7.46761775,-23.1137,-220.13338
3.06,-19.86834748,-4.57181097,-7.42672731,39.9163,-190.61338
3.07,-19.91843734,-4.5597188,-7.40438993,87.0563,-139.21338
